피해액 x  만원,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,freq.,rank,p,probit,logit,gumbit
50,197,162,153,114,101,90,91,74,96,77,428,,,,,
100,31,23,26,28,37,24,25,30,20,23,122,,,,,
1000,89,87,93,60,69,69,69,59,59,69,325,,,,,
5000,25,12,11,14,14,15,14,16,22,20,87,,,,,
10000,3,4,3,3,5,2,2,0,5,4,13,,,,,
100000,3,0,1,0,2,3,2,0,0,4,9,,,,,
10억이상,0,0,0,0,0,0,1,0,1,0,2,,,,,
,,,,,,,,,,,,,,,,
Total Freq.,348,288,287,219,228,203,204,179,203,197,986,,,,,
Total Damage,176163,89734,139708,81843,115335,121993,229850,56572,445377,256031,1109823,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,N 학교수 2015,21162,,,,,,,,,,
